date,요일,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),건고추_거래량(kg),건고추_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg)
2022-01-24,월요일,1292567.15,694.465586565464,2208217.45,501.71309849942537,2271330.9,497.1169018129415,228.0,7884.627192982456,87899.0,5941.911352802648,932086.4,1276.3647082502223,326435.5,1945.8813793230208,763973.3,415.2240412066757,84895.3,11054.419537948508,414768.34,3658.9878195621195,73066.5,8427.273524802747,550238.0,959.8822037009439,147158.1,6343.368384071281,234797.3,4018.345492047822,147784.0,3120.8655605478266,235080.3,3094.821301487194,44482.0,4449.98385863945,342302.2,3708.2801249889717,424782.6,4067.5888324992598,0.0,0.0,96449.4,14862.719311887893
2022-01-25,화요일,966194.4,716.8412236709299,1746799.3,487.94588708616953,2084884.3,534.0045680232711,199.0,7628.140703517588,94638.1,6424.896347242812,846150.7,1269.9674703335943,261433.5,1921.6176274272425,628532.1,426.4667898425554,64087.9,12053.621557267441,391020.5,3623.9807222383483,77044.5,8117.881743667621,419832.5,1004.3277021192976,107157.8,6444.978610983055,211909.2,4026.4965607911313,145663.0,2987.2987306316636,150070.0,3358.86133137869,38154.0,4517.491429470042,173159.4,3793.502062261708,268879.2,3909.920774831225,167.9,6353.186420488386,92995.2,14127.124625787137
2022-01-26,수요일,1118943.9,698.0151167542896,1579199.2,496.0190949944757,2175715.5,459.25645149836913,1671.5,7856.117259946156,87942.0,6315.895033089992,828937.6,1269.9170938801667,315575.0,1834.2600015844093,247154.5,472.3652694974196,72272.6,12436.921253697805,401286.8,3738.151760785553,82741.6,8053.2432899533,410769.0,1017.9249042649275,138831.4,6771.007200100265,206342.3,3901.42703168473,151887.0,2833.6050945768893,176373.3,3583.936570898203,40973.5,4670.1551490597585,240052.0,3989.0198040424575,337088.7,3617.235671204641,0.0,0.0,74662.2,14379.372694616553
2022-01-27,목요일,1006470.8,687.605592730559,1788147.1,492.7427777054807,2110282.5,474.9261816842058,429.6,8948.46834264432,131907.8,5939.173361999821,790430.7,1335.9921217634892,290286.0,1789.61008109244,691799.3,488.5255477997737,79155.1,12180.486475287125,412239.1,3749.974177607122,59930.8,8502.768676540276,376652.0,1044.3097474591932,167620.9,6298.422917428555,198069.2,4042.8842596425893,149027.6,2923.9248099009847,128273.7,3950.760912018598,45647.0,4607.60972243521,164113.4,4329.854557884974,191422.4,3658.4415303538144,0.0,0.0,87012.9,14336.183485437217
2022-01-28,금요일,866550.65,702.8115667560805,1564301.0,512.1005292459699,2178586.1,490.4873302918806,78.0,8333.333333333334,143734.3,6601.733281478395,858300.7,1375.6257929184958,312555.0,1857.292530914559,759252.8,457.03389437615505,88611.2,12775.283903163483,460523.66,3924.4316502652655,102787.0,9261.308249097649,591602.0,975.9750778394935,166617.05,6650.526743811633,215574.2,4452.9860948109745,156396.5,2805.9233230922687,180865.5,4180.629362703225,48368.0,4580.727237016209,236074.6,5156.847831151678,266579.4,3885.512053819612,0.0,0.0,75583.5,14104.902525021995
2022-01-29,토요일,438722.1,844.3888694004702,1476419.0,507.086984114943,1087593.0,516.8966709053847,972.0,16502.057613168723,89436.7,6324.132554085739,945221.7,1328.758755750106,230222.5,2127.3725113748656,680515.1,388.93457911514383,88326.67,15818.918940338179,496316.6,3987.4701450646626,106585.0,9510.539822676737,393177.0,932.0392367813987,132045.8,6347.738890597051,260395.8,4063.382846420718,163673.0,2411.4305291648593,220122.2,3677.9942232087446,52167.0,4534.268062184906,227422.0,5158.922918627046,245383.5,3761.7465640517803,0.0,0.0,69960.6,14832.9516899512
2022-01-30,일요일,51743.5,1100.4621450037203,577234.0,472.1184996032805,26838.5,476.9044469698381,0.0,0.0,18382.8,6996.617762256023,531762.9,1144.7808036250742,87194.5,1679.7050731410811,5340.0,428.63295880149815,11419.0,10346.199316927927,144582.85,4171.743896319654,10957.5,4795.144604152407,7290.0,1169.4128943758574,13629.4,7183.9987086738965,122854.0,2963.9574535627657,61457.0,2151.378394649918,75287.0,3498.0580976795463,17390.0,2929.6320299022427,191488.0,3632.425243357286,116994.0,3930.670897652871,0.0,0.0,19749.9,14699.436452842798
2022-01-31,월요일,8786.0,1108.7297974049625,13936.0,480.8409873708381,20423.0,519.2038388091858,8.0,9000.0,3824.0,5930.177824267783,110970.0,1034.8486978462647,2743.0,1452.138169886985,4853.8,410.14504099880503,7237.0,11808.62995716457,18721.5,4254.888764255001,2909.0,5127.906497078034,1530.0,1201.9607843137255,1040.0,8050.215384615384,23640.0,3375.241116751269,10665.0,2367.5761837787154,19104.0,2778.8578308207707,6741.0,4178.949710725412,31820.0,2980.313796354494,24019.0,3466.9553270327656,0.0,0.0,3652.0,13821.82365826944
2022-02-03,목요일,5613.0,1247.696775342954,81316.0,437.6961483594865,2130.0,530.5164319248827,0.0,0.0,1050.0,3694.9238095238097,10746.0,1358.6916061790434,186.0,1964.032258064516,43592.0,445.22389429253076,621.0,14561.078904991948,6231.5,3585.9696702238625,1071.0,8600.463118580765,9030.0,881.3726467331119,444.0,8901.61036036036,14135.0,3314.5477184294305,5470.0,2446.4063985374773,3779.0,2417.782482138132,2040.0,2902.6666666666665,1273.0,5260.742340926944,3688.0,3173.335140997831,0.0,0.0,982.0,14163.15682281059
2022-02-04,금요일,863856.5,765.0754263005488,820796.7,479.1649856779395,2117356.5,573.4735600736107,393.5,7256.670902160102,97240.5,6954.477866732483,777018.3,1159.1298814969994,262922.0,1894.6966933158883,524038.5,466.11586744103727,107788.6,12300.13092293619,207518.0,4133.126119180023,73574.5,6213.360947067258,293360.0,1016.2537394327788,139302.7,6834.537586134367,209567.5,2919.636556240829,131080.0,2213.7003356728715,472669.8,2885.688285987385,60079.5,4041.9199727028354,712698.6,2646.3548349891526,633871.0,2777.4100597755696,0.0,0.0,18804.9,17249.429669926452
2022-02-05,토요일,507267.1,848.642234041987,1162037.5,444.8606443423728,1570618.9,496.14336106613774,1300.0,8496.153846153846,72362.7,6093.62453308127,737447.9,1165.8090585111165,209941.0,1917.6952429492096,633501.2,478.41311429244337,85240.3,10612.399440170904,169371.5,4617.4428401472505,74995.6,5048.118302940439,458810.0,935.928401734923,131813.1,6713.142115616733,188026.0,2886.9995638901005,146694.5,1954.190170728964,298045.3,2664.1826594816293,51616.0,3823.569125852449,234867.0,2525.1555178036933,298710.85,2639.0362419041694,533.0,6153.846153846154,22331.9,15878.734008302024
2022-02-07,월요일,847453.85,793.3768523206309,1734702.85,448.76946907650495,2485678.0,493.3497580941699,60.0,8583.333333333334,89534.5,6053.632175306725,876619.6,1118.9242814100894,256409.5,1857.5186215799336,786743.1,490.3833513125187,122193.8,7514.175359142608,260318.0,4477.864880645979,77104.5,4741.289483752569,704870.0,914.5836324428618,185514.0,5783.209396595405,195331.2,2720.2849621565833,147701.0,1935.6155747083635,303334.2,3054.198191301871,59941.0,3232.426552776897,386061.0,2508.7525183844004,369644.8,2560.3803435081463,1570.2,6178.8307222009935,24759.7,16629.393732557342
2022-02-08,화요일,761221.9,764.537260423012,1459915.1,445.06716863192935,2184501.4,467.2566517924869,74.0,10570.27027027027,88088.8,5944.092222847853,716999.8,1108.767040102382,234403.0,1823.2506409900898,760694.2,457.7402023046844,74008.3,6056.284903179779,211161.06,3777.593378248812,70334.0,4149.389726163733,534928.0,864.0704076062573,94131.1,6130.863391588964,167766.0,2685.6384845558696,138709.0,1816.375512764132,202461.3,3020.076676382104,44798.0,2416.375418545471,193164.0,2477.3415646807894,227650.55000000002,2573.2364582470805,0.0,0.0,21393.1,16416.70445143528
